INFO  | 2021-06-13 15:51:28 - создан сервер
INFO  | 2021-06-13 15:55:32 - старт сервера
INFO  | 2021-06-13 15:55:32 - добавлены команды
INFO  | 2021-06-13 15:55:32 - путь установлен как стандартный
INFO  | 2021-06-13 15:55:32 - создан сервер
INFO  | 2021-06-13 16:19:10 - старт сервера
INFO  | 2021-06-13 16:19:10 - добавлены команды
INFO  | 2021-06-13 16:19:10 - путь установлен как стандартный
INFO  | 2021-06-13 16:19:10 - создан сервер
INFO  | 2021-06-14 09:13:49 - старт сервера
INFO  | 2021-06-14 09:13:49 - добавлены команды
INFO  | 2021-06-14 09:13:49 - путь установлен как стандартный
INFO  | 2021-06-14 09:13:49 - создан сервер
INFO  | 2021-06-15 21:15:08 - старт сервера
INFO  | 2021-06-15 21:15:08 - добавлены команды
INFO  | 2021-06-15 21:15:08 - путь установлен как стандартный
INFO  | 2021-06-15 21:15:08 - создан сервер
